PathID,GeneID
hsa00100,hsa:1595
hsa00100,hsa:1717
hsa00100,hsa:1718
hsa00100,hsa:2222
hsa00100,hsa:3988
hsa00100,hsa:4047
hsa00100,hsa:50814
hsa00100,hsa:51478
hsa00100,hsa:6307
hsa00100,hsa:6309
hsa00100,hsa:6646
hsa00100,hsa:6713
hsa00100,hsa:7108
hsa00100,hsa:8435
hsa00120,hsa:10005
hsa00120,hsa:10858
hsa00120,hsa:10998
hsa00120,hsa:1109
hsa00120,hsa:1581
hsa00120,hsa:1582
hsa00120,hsa:1593
hsa00120,hsa:23600
hsa00120,hsa:3295
hsa00120,hsa:51302
hsa00120,hsa:570
hsa00120,hsa:6342
hsa00120,hsa:6718
hsa00120,hsa:80270
hsa00120,hsa:8309
hsa00120,hsa:9023
hsa00120,hsa:9420
hsa00130,hsa:10229
hsa00130,hsa:154807
hsa00130,hsa:1728
hsa00130,hsa:2677
hsa00130,hsa:27235
hsa00130,hsa:3242
hsa00130,hsa:51004
hsa00130,hsa:51805
hsa00130,hsa:6898
hsa00130,hsa:79001
hsa00130,hsa:84274
hsa00140,hsa:100861540
hsa00140,hsa:10720
hsa00140,hsa:10941
hsa00140,hsa:1109
hsa00140,hsa:1312
hsa00140,hsa:1543
hsa00140,hsa:1544
hsa00140,hsa:1545
hsa00140,hsa:1551
hsa00140,hsa:1571
hsa00140,hsa:1576
hsa00140,hsa:1577
hsa00140,hsa:1581
hsa00140,hsa:1583
hsa00140,hsa:1584
hsa00140,hsa:1585
hsa00140,hsa:1586
hsa00140,hsa:1588
hsa00140,hsa:1589
hsa00140,hsa:1645
hsa00140,hsa:1646
hsa00140,hsa:3283
hsa00140,hsa:3284
hsa00140,hsa:3290
hsa00140,hsa:3291
hsa00140,hsa:3292
hsa00140,hsa:3293
hsa00140,hsa:3294
hsa00140,hsa:412
hsa00140,hsa:51144
hsa00140,hsa:51478
hsa00140,hsa:54490
hsa00140,hsa:54575
hsa00140,hsa:54576
hsa00140,hsa:54577
hsa00140,hsa:54578
hsa00140,hsa:54579
hsa00140,hsa:54600
hsa00140,hsa:54657
hsa00140,hsa:54658
hsa00140,hsa:54659
hsa00140,hsa:574537
hsa00140,hsa:6715
hsa00140,hsa:6716
hsa00140,hsa:6718
hsa00140,hsa:6783
hsa00140,hsa:6820
hsa00140,hsa:7363
hsa00140,hsa:7364
hsa00140,hsa:7365
hsa00140,hsa:7366
hsa00140,hsa:7367
hsa00140,hsa:7923
hsa00140,hsa:79644
hsa00140,hsa:79799
hsa00140,hsa:8630
